Notikuma identifikators;TL kārtas numurs notikumā;TL veids;Marka;Modelis;Izlaiduma gads;Personas kārtas numurs notikumā;Statuss;Vecums (uz notikuma brīdi);Dzimums;Reibums;Miesas bojājumi
11599;1;Vieglā;VW;SHARAN;1996;1;Vadītājs;38;V;Nē;bez miesas bojājumiem
11599;;;;;;2;Gājējs;89;S;Nē;viegli miesas bojājumi
69751;1;Vieglā;BMW;530;2011;2;Vadītājs;31;V;Nē;bez miesas bojājumiem
69751;;;;;;1;Gājējs;69;V;Nē;viegli miesas bojājumi
75457;1;Motocikls;HONDA;CBR 1000RR;2004;1;Vadītājs;35;V;Nē;viegli miesas bojājumi
75457;2;Vieglā;BMW;325;1994;2;Vadītājs;21;V;Nē;bez miesas bojājumiem
86457;1;Traktortehnika;;;;1;Vadītājs;62;V;Nē;gājis bojā
126858;1;Vieglā;VW;MULTIVAN;1996;1;Vadītājs;47;V;Nē;viegli miesas bojājumi
126858;2;Vieglā;VW;PASSAT VARIANT;1990;2;Vadītājs;45;V;Nē;gājis bojā
215184;1;Vieglā;BMW;520I;2020;1;Vadītājs;27;V;Nē;bez miesas bojājumiem
215184;;;;;;2;Gājējs;84;S;Nē;viegli miesas bojājumi
229333;1;Vieglā;MERCEDES BENZ;A170;2004;2;Vadītājs;23;S;Nē;viegli miesas bojājumi
229333;1;Vieglā;MERCEDES BENZ;A170;2004;3;Pasažieris;4;V;Nē;viegli miesas bojājumi
229333;2;Vieglā;FORD;FUSION;2006;1;Vadītājs;64;V;Nē;bez miesas bojājumiem
236964;1;Vieglā;BMW;530;2001;3;Vadītājs;;V;Nē;bez miesas bojājumiem
236964;2;Velosipēds;;;;1;Velosipēda vadītājs;12;S;Nē;bez miesas bojājumiem
236964;3;Velosipēds;;;;2;Velosipēda vadītājs;12;S;Nē;viegli miesas bojājumi
241152;1;Vieglā;FORD;FOCUS;2009;1;Vadītājs;44;V;Nē;bez miesas bojājumiem
241152;;;;;;2;Gājējs;37;V;Jā;smagi miesas bojājumi
250721;1;Vieglā;VW;TOUAREG;2006;4;Vadītājs;;V;Nē;bez miesas bojājumiem
250721;2;Vieglā;FORD;FOCUS;2015;1;Vadītājs;48;V;Jā;viegli miesas bojājumi
250721;2;Vieglā;FORD;FOCUS;2015;2;Pasažieris;40;V;Jā;viegli miesas bojājumi
250721;2;Vieglā;FORD;FOCUS;2015;3;Pasažieris;25;S;Jā;smagi miesas bojājumi
250721;3;Vieglā;MERCEDES BENZ;C220 BLUETEC;2015;5;Vadītājs;;V;Nē;bez miesas bojājumiem
250721;4;Vieglā;MERCEDES BENZ;GLC 220 D 4MATIC;2016;6;Vadītājs;;V;Nē;bez miesas bojājumiem
367776;1;Motocikls;YAMAHA;TDM850;2000;1;Vadītājs;50;V;Nē;viegli miesas bojājumi
367776;1;Motocikls;YAMAHA;TDM850;2000;2;Pasažieris;50;S;Nē;viegli miesas bojājumi
443269;1;Vieglā;SEAT;ALHAMBRA;2002;1;Vadītājs;40;V;Nē;bez miesas bojājumiem
443269;2;Velosipēds;;;;2;Velosipēda vadītājs;61;V;Nē;bez miesas bojājumiem
458046;1;Vieglā;BMW;320;2000;2;Vadītājs;22;V;Nē;bez miesas bojājumiem
458046;;;;;;1;Gājējs;49;V;Nē;smagi miesas bojājumi
460106;1;Vieglā;VW;PASSAT;1997;2;Vadītājs;20;V;Nē;bez miesas bojājumiem
460106;;;;;;1;Gājējs;46;S;Nē;gājis bojā
465304;1;Vieglā;MERCEDES BENZ;S300;1998;1;Vadītājs;53;V;Nē;viegli miesas bojājumi
465304;1;Vieglā;MERCEDES BENZ;S300;1998;3;Pasažieris;56;S;Nē;viegli miesas bojājumi
465304;2;Motocikls;BMW;C 650 GT;2020;2;Vadītājs;58;V;Nē;smagi miesas bojājumi
465304;2;Motocikls;BMW;C 650 GT;2020;4;Pasažieris;22;S;Nē;viegli miesas bojājumi
479542;1;Vieglā;ŠKODA;FABIA;2005;2;Vadītājs;44;S;Nē;bez miesas bojājumiem
479542;2;Motocikls;HONDA;NX650 DOMINATOR;1999;1;Vadītājs;42;V;Nē;viegli miesas bojājumi
510566;1;Vieglā;OPEL;INSIGNIA SPORTS TOUR;2013;1;Vadītājs;43;V;Nē;bez miesas bojājumiem
510566;2;Motocikls;KAWASAKI;KMX 125;1997;2;Vadītājs;39;V;Nē;viegli miesas bojājumi
510566;3;Vieglā;KIA;SPORTAGE;2016;3;Vadītājs;43;S;Nē;bez miesas bojājumiem
538840;1;Vieglā;VOLVO;S60;2010;1;Vadītājs;36;V;Jā;bez miesas bojājumiem
538840;2;Vieglā;CITROEN;C2;2003;2;Vadītājs;46;V;Nē;bez miesas bojājumiem
556676;1;Vieglā;VOLVO;S80;1999;1;Vadītājs;35;V;Nē;bez miesas bojājumiem
556676;;;;;;2;Gājējs;15;S;Nē;smagi miesas bojājumi
556676;;;;;;3;Gājējs;15;S;Nē;smagi miesas bojājumi
591090;1;Vieglā;MITSUBISHI;LANCER;2006;1;Vadītājs;46;V;Jā;viegli miesas bojājumi
591090;1;Vieglā;MITSUBISHI;LANCER;2006;3;Pasažieris;49;V;Nē;bez miesas bojājumiem
591090;1;Vieglā;MITSUBISHI;LANCER;2006;2;Pasažieris;64;S;Nē;bez miesas bojājumiem
677503;1;Kravas;VW;CADDY;1999;3;;;;Nē;
677503;2;Kravas;MERCEDES BENZ;ATEGO 1328;2000;3;;;;Nē;
677503;;;;;;1;;;V;Nē;bez miesas bojājumiem
677503;;;;;;2;;;V;Nē;bez miesas bojājumiem
713434;1;Kravas;MITSUBISHI;L200;2014;1;Vadītājs;36;V;Nē;bez miesas bojājumiem
713434;2;Vieglā;VW;PASSAT;2006;2;Vadītājs;20;S;Nē;smagi miesas bojājumi
713969;1;Motocikls;;;;1;Vadītājs;21;V;Nē;gājis bojā
716101;1;Vieglā;BMW;X3;2011;1;Vadītājs;58;V;Nē;viegli miesas bojājumi
716101;2;Vieglā;NISSAN;QASHQAI;2019;2;Vadītājs;66;V;Nē;viegli miesas bojājumi
764643;1;Kravas vilcējs;MAN;18.430;;2;Vadītājs;48;V;Nē;bez miesas bojājumiem
764643;2;Velosipēds;;;;1;Velosipēda vadītājs;77;V;Nē;gājis bojā
772615;1;Motocikls;HONDA;VT 125;2000;1;Vadītājs;48;V;Nē;viegli miesas bojājumi
772615;2;Vieglā;VW;GOLF VARIANT;2005;2;Vadītājs;22;S;Nē;bez miesas bojājumiem
980153;1;Vieglā;VW;TOUAREG;2009;1;Vadītājs;54;S;Nē;bez miesas bojājumiem
980153;2;Nedefinēts;;;;2;Citi;11;V;Nē;smagi miesas bojājumi
1016431;1;Autobuss;SCANIA;K400;2012;1;Vadītājs;65;V;Nē;bez miesas bojājumiem
1016431;2;Velosipēds;;;;2;Velosipēda vadītājs;48;V;Nē;gājis bojā
1086817;1;Vieglā;VW;TRANSPORTER;1998;1;Vadītājs;49;V;Nē;smagi miesas bojājumi
1086817;2;Kravas;VW;TRANSPORTER;2001;2;Pasažieris;61;V;Nē;viegli miesas bojājumi
1086817;2;Kravas;VW;TRANSPORTER;2001;3;Vadītājs;53;V;Nē;bez miesas bojājumiem
1086817;2;Kravas;VW;TRANSPORTER;2001;4;Pasažieris;61;V;Nē;viegli miesas bojājumi
1086817;2;Kravas;VW;TRANSPORTER;2001;5;Pasažieris;35;V;Nē;viegli miesas bojājumi
1109792;1;Autobuss;MERCEDES BENZ;TOURINO;2008;1;Pasažieris;36;V;Nē;viegli miesas bojājumi
1109792;1;Autobuss;MERCEDES BENZ;TOURINO;2008;3;Vadītājs;55;V;Nē;bez miesas bojājumiem
1109792;2;Vieglā;AUDI;80;1987;6;Pasažieris;43;S;Nē;smagi miesas bojājumi
1109792;2;Vieglā;AUDI;80;1987;2;Vadītājs;50;V;Nē;smagi miesas bojājumi
1109792;3;Vieglā;VOLVO;V50;2009;5;Pasažieris;5;V;Nē;viegli miesas bojājumi
1109792;3;Vieglā;VOLVO;V50;2009;4;Vadītājs;43;S;Nē;bez miesas bojājumiem
1109792;3;Vieglā;VOLVO;V50;2009;7;Pasažieris;5;V;Nē;viegli miesas bojājumi
1120259;1;Vieglā;VW;PASSAT VARIANT;1997;1;Vadītājs;37;V;Nē;smagi miesas bojājumi
1120259;1;Vieglā;VW;PASSAT VARIANT;1997;2;Pasažieris;35;V;Nē;gājis bojā
1120259;2;Kravas;DAF;FT XF 105;2010;3;Vadītājs;23;V;Nē;bez miesas bojājumiem
1120259;3;Puspiekabe;SCHMITZ;SKO 24;2011;4;;;;Nē;
1175532;1;Kravas;MAN;27.464;2001;2;Vadītājs;51;V;Nē;bez miesas bojājumiem
1175532;2;Vieglā;VW;PASSAT;1994;1;Vadītājs;44;S;Nē;smagi miesas bojājumi
1175532;3;Piekabe;MUELLER MITTELTAL;T40;1993;3;;;;Nē;
1235708;1;Kravas;MITSUBISHI;L200;2013;1;Vadītājs;65;S;Nē;bez miesas bojājumiem
1235708;2;Velosipēds;;;;2;Velosipēda vadītājs;13;V;Nē;smagi miesas bojājumi
1317587;1;Vieglā;BMW;530;1999;2;Vadītājs;25;V;Jā;bez miesas bojājumiem
1317587;2;Vieglā;VW;SHARAN;2015;1;Vadītājs;45;S;Nē;bez miesas bojājumiem
1344088;1;Vieglā;OPEL;ASTRA CARAVAN;2003;1;Pasažieris;49;V;Jā;viegli miesas bojājumi
1344088;1;Vieglā;OPEL;ASTRA CARAVAN;2003;2;Pasažieris;29;S;Jā;viegli miesas bojājumi
1344088;1;Vieglā;OPEL;ASTRA CARAVAN;2003;3;Vadītājs;26;S;Jā;viegli miesas bojājumi
1459387;1;Vieglā;MAZDA;3;2007;1;Pasažieris;19;V;Nē;gājis bojā
1459387;1;Vieglā;MAZDA;3;2007;3;Pasažieris;18;S;Nē;gājis bojā
1459387;1;Vieglā;MAZDA;3;2007;2;Vadītājs;;V;Nē;bez miesas bojājumiem
1580267;1;Vieglā;HYUNDAI;SONATA;2008;1;Vadītājs;76;V;Nē;smagi miesas bojājumi
1580267;1;Vieglā;HYUNDAI;SONATA;2008;2;Pasažieris;71;S;Nē;smagi miesas bojājumi
1726817;1;Motocikls;APRILIA;RST FUTURA;2002;1;Vadītājs;27;V;Nē;viegli miesas bojājumi
1726817;2;Vieglā;RENAULT;MEGANE SCENIC;2008;2;Vadītājs;42;V;Nē;bez miesas bojājumiem
1770940;1;Motocikls;KAWASAKI;Z 750;2004;1;Vadītājs;28;V;Nē;viegli miesas bojājumi
1770940;2;Vieglā;OPEL;ASTRA;2000;2;Vadītājs;23;V;Nē;bez miesas bojājumiem
2072273;1;Vieglā;VW;MULTIVAN;1997;2;Vadītājs;46;V;Nē;bez miesas bojājumiem
2072273;;;;;;1;Gājējs;45;V;Nē;gājis bojā
2091385;1;Motocikls;YAMAHA;YZF R6;2003;1;Vadītājs;29;V;Nē;gājis bojā
2092384;1;Vieglā;HONDA;ACCORD SEDAN;2006;1;Vadītājs;40;S;Nē;viegli miesas bojājumi
2092384;2;Vieglā;AUDI;80;1987;4;Pasažieris;6;V;Nē;viegli miesas bojājumi
2092384;2;Vieglā;AUDI;80;1987;3;Pasažieris;3;S;Nē;viegli miesas bojājumi
2092384;2;Vieglā;AUDI;80;1987;2;Vadītājs;30;S;Nē;smagi miesas bojājumi
2132511;1;Vieglā;RENAULT;TWINGO;1993;1;Vadītājs;48;V;Jā;viegli miesas bojājumi
2132511;1;Vieglā;RENAULT;TWINGO;1993;2;Pasažieris;50;S;Jā;viegli miesas bojājumi
2249374;1;Vieglā;OPEL;ZAFIRA;2004;3;Pasažieris;25;S;Nē;smagi miesas bojājumi
2249374;1;Vieglā;OPEL;ZAFIRA;2004;4;Vadītājs;26;V;Nē;bez miesas bojājumiem
2249374;2;Vieglā;HONDA;CRV;2006;5;Pasažieris;5;S;Nē;bez miesas bojājumiem
2249374;2;Vieglā;HONDA;CRV;2006;2;Vadītājs;41;S;Nē;viegli miesas bojājumi
2249374;2;Vieglā;HONDA;CRV;2006;1;Pasažieris;50;V;Nē;viegli miesas bojājumi
2431983;1;Vieglā;AUDI;80 AVANT;1994;1;Vadītājs;37;V;Jā;bez miesas bojājumiem
2431983;2;Vieglā;PEUGEOT;307;2006;2;Vadītājs;18;S;Nē;bez miesas bojājumiem
2754636;1;Velosipēds;;;;2;Velosipēda vadītājs;;;Nē;bez miesas bojājumiem
2754636;2;Velosipēds;;;;1;Velosipēda vadītājs;63;S;Nē;viegli miesas bojājumi
2756748;1;Vieglā;HONDA;JAZZ;2008;1;Vadītājs;70;S;Nē;gājis bojā
2756748;2;Kravas;MAN;TGX;2018;2;Vadītājs;42;V;Nē;viegli miesas bojājumi
2756748;3;Piekabe;SCHMITZ;SCS 24;2013;3;;;;Nē;
2757696;1;Vieglā;RENAULT;MEGANE;2004;1;Vadītājs;55;S;Nē;bez miesas bojājumiem
2757696;;;;;;2;Gājējs;73;V;Nē;gājis bojā
2759437;1;Kravas;VOLVO;FM;2004;1;Vadītājs;62;V;Nē;bez miesas bojājumiem
2759437;2;Velosipēds;;;;2;Velosipēda vadītājs;42;;Nē;gājis bojā
2759439;1;Vieglā;BMW;525;2005;2;Vadītājs;22;S;Nē;bez miesas bojājumiem
2759439;2;Motocikls;HONDA;CBF600;2008;1;Vadītājs;48;S;Nē;viegli miesas bojājumi
2759715;1;Kravas;DAF;FTXF105.460;2006;2;Vadītājs;52;V;Nē;bez miesas bojājumiem
2759715;2;Piekabe;SCHMITZ;SKO 24;2004;3;;;;Nē;
2759715;3;Velosipēds;;;;1;Velosipēda vadītājs;79;S;Nē;gājis bojā
2764751;1;Vieglā;;;;1;Vadītājs;26;V;Nē;gājis bojā
2771633;1;Vieglā;SUBARU;LEGACY;2010;2;Vadītājs;41;V;Nē;bez miesas bojājumiem
2771633;2;Vieglā;FORD;FIESTA;2009;4;Vadītājs;21;S;Nē;bez miesas bojājumiem
2771633;3;Traktortehnika;;;;1;Vadītājs;40;V;Nē;bez miesas bojājumiem
2771633;4;Velosipēds;;;;3;Velosipēda vadītājs;74;V;Nē;smagi miesas bojājumi
2821698;1;Vieglā;BMW;535;2011;2;Vadītājs;22;V;Nē;bez miesas bojājumiem
2821698;;;;;;1;Gājējs;10;V;Nē;viegli miesas bojājumi
2822301;1;Vieglā;VW;PASSAT;2008;1;Vadītājs;34;V;Jā;bez miesas bojājumiem
2822929;1;Motocikls;YAMAHA;FZS 1000;2002;1;Vadītājs;44;V;Nē;viegli miesas bojājumi
2822929;2;Vieglā;NISSAN;QASHQAI;2015;2;Vadītājs;57;S;Nē;bez miesas bojājumiem
2876068;1;Vieglā;AUDI;A4 AVANT;1999;1;Vadītājs;32;V;Nē;bez miesas bojājumiem
2876068;2;Velosipēds;;;;2;Velosipēda vadītājs;39;V;Nē;smagi miesas bojājumi
2876068;;;;;;2;;;V;Nē;bez miesas bojājumiem
2876068;;;;;;1;;;V;Nē;bez miesas bojājumiem
2877716;1;Vieglā;VW;TOURAN;2005;1;Vadītājs;33;V;Nē;bez miesas bojājumiem
2877716;2;Vieglā;VOLVO;V70;2003;3;Vadītājs;18;S;Nē;bez miesas bojājumiem
2877716;3;Vieglā;;;;4;Vadītājs;;V;Nē;bez miesas bojājumiem
2877716;4;Mopēds,motorollers;;;;2;Mopēdists;16;V;Nē;viegli miesas bojājumi
2877716;4;Mopēds,motorollers;;;;5;Pasažieris;13;V;Nē;smagi miesas bojājumi
2927537;1;Vieglā;MERCEDES BENZ;E220;2006;1;Vadītājs;53;V;Nē;bez miesas bojājumiem
2927537;;;;;;2;Gājējs;65;S;Nē;viegli miesas bojājumi
2927881;1;Vieglā;VW;MULTIVAN;1996;3;Pasažieris;73;S;Nē;smagi miesas bojājumi
2927881;1;Vieglā;VW;MULTIVAN;1996;2;Pasažieris;46;V;Nē;smagi miesas bojājumi
2927881;1;Vieglā;VW;MULTIVAN;1996;1;Vadītājs;77;V;Nē;bez miesas bojājumiem
2927881;1;Vieglā;VW;MULTIVAN;1996;4;Pasažieris;50;V;Nē;smagi miesas bojājumi
2927881;1;Vieglā;VW;MULTIVAN;1996;6;Pasažieris;78;V;Nē;gājis bojā
2927881;1;Vieglā;VW;MULTIVAN;1996;5;Pasažieris;77;S;Nē;gājis bojā
2977925;1;Vieglā;RENAULT;ESPACE;2006;1;Vadītājs;54;S;Nē;bez miesas bojājumiem
2977925;;;;;;2;Gājējs;31;V;Nē;viegli miesas bojājumi
2978283;1;Kravas;RENAULT;MASTER;2016;2;Vadītājs;25;V;Nē;bez miesas bojājumiem
2978283;;;;;;1;Gājējs;68;S;Nē;smagi miesas bojājumi
3128205;1;Vieglā;AUDI;A6 AVANT;1996;4;Vadītājs;18;V;Nē;bez miesas bojājumiem
3128205;2;Vieglā;AUDI;A6;1999;3;Vadītājs;23;V;Nē;bez miesas bojājumiem
3128205;3;Vieglā;TOYOTA;RAV4;2019;2;Vadītājs;42;S;Nē;bez miesas bojājumiem
3128205;4;Mopēds,motorollers;;;;1;Mopēdists;45;V;Nē;smagi miesas bojājumi
3178504;1;Vieglā;VOLVO;C30;2008;2;Vadītājs;34;S;Nē;bez miesas bojājumiem
3178504;2;Pārvietošanās līdzeklis ar elektromotoru;;;;3;Citi;26;V;Nē;bez miesas bojājumiem
3178504;3;Vieglā;OPEL;ASTRA CARAVAN;1993;1;Vadītājs;35;V;Nē;bez miesas bojājumiem
3178504;;;;;;4;Gājējs;57;S;Nē;viegli miesas bojājumi
3178533;1;Vieglā;;;;2;Vadītājs;;V;Nē;bez miesas bojājumiem
3178533;2;Velosipēds;;;;1;Velosipēda vadītājs;51;V;Nē;viegli miesas bojājumi
3178771;1;Vieglā;VW;PASSAT VARIANT;2002;3;Vadītājs;28;S;Nē;bez miesas bojājumiem
3178771;1;Vieglā;VW;PASSAT VARIANT;2002;4;Pasažieris;4;V;Nē;viegli miesas bojājumi
3178771;2;Vieglā;PEUGEOT;407;2005;2;Vadītājs;27;V;Nē;bez miesas bojājumiem
3178771;2;Vieglā;PEUGEOT;407;2005;1;Pasažieris;31;V;Nē;smagi miesas bojājumi
3228932;1;Vieglā;OPEL;INSIGNIA SPORTS TOUR;2015;1;Vadītājs;43;V;Nē;bez miesas bojājumiem
3228932;2;Vieglā;AUDI;80 AVANT;1994;2;Vadītājs;84;V;Nē;viegli miesas bojājumi
3228932;2;Vieglā;AUDI;80 AVANT;1994;3;Pasažieris;82;S;Nē;smagi miesas bojājumi
3229052;1;Vieglā;VW;PASSAT;2018;1;Vadītājs;47;V;Nē;bez miesas bojājumiem
3229052;2;Motocikls;SUZUKI;GS500E;1994;2;Vadītājs;23;V;Nē;viegli miesas bojājumi
3229316;1;Vieglā;BMW;525;1999;2;Vadītājs;20;V;Jā;bez miesas bojājumiem
3229316;1;Vieglā;BMW;525;1999;1;Pasažieris;18;S;Jā;smagi miesas bojājumi
3338154;1;Vieglā;VW;GOLF VARIANT;2001;1;Vadītājs;48;V;Nē;bez miesas bojājumiem
3338154;2;Vieglā;LEXUS;GS 300;1998;2;Vadītājs;59;V;Nē;bez miesas bojājumiem
3550325;1;Kravas;DAF;FT XF 105;2012;4;Vadītājs;58;V;Nē;bez miesas bojājumiem
3550325;2;Puspiekabe;BODEX;KIS3WA;2016;7;;;;Nē;
3550325;3;Kravas;IVECO;29L12;2006;6;Vadītājs;22;V;Nē;viegli miesas bojājumi
3550325;3;Kravas;IVECO;29L12;2006;5;Pasažieris;23;V;Nē;viegli miesas bojājumi
3550325;3;Kravas;IVECO;29L12;2006;1;Pasažieris;60;V;Nē;viegli miesas bojājumi
3550325;4;Vieglā;FORD;FOCUS;2010;2;Vadītājs;67;S;Nē;bez miesas bojājumiem
3550325;5;Vieglā;VOLVO;XC60;2008;3;Vadītājs;47;S;Nē;viegli miesas bojājumi
3550777;1;Vieglā;BMW;320;1999;1;Pasažieris;27;S;Nē;bez miesas bojājumiem
